Name,College,POS,Height (in),Weight (lbs),40 Yrd Dash,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Drafted?
J.D. Walton,Baylor,C,75,300,5.19,24,27,101,4.69,7.6,0
Lorenzo Washington,Alabama,DT,76,291,5.21,25,30,107,4.68,7.4,0
Tony Washington,Abilene Christian,OT,78,311,5.25,33,29.5,114,4.84,7.52,0
Dekoda Watson,Florida State,OLB,74,226,4.55,24,40,134,4.11,7.06,1
Sean Weatherspoon,Missouri,OLB,73,239,4.62,34,40,123,4.38,6.99,1
Blair White,Michigan State,WR,74,209,4.49,18,33.5,115,4.03,6.69,0
Damian Williams,Southern California,WR,73,197,4.52,19,38,118,4.24,6.79,1
Dan Williams,Tennessee,DT,74,327,5.19,27,32,96,4.87,7.88,1
Kyle Williams,Arizona State,WR,70,188,4.4,11,33,118,4.19,7,1
Mike Williams,Syracuse,WR,74,221,4.53,8,33.5,116,4.31,6.9,1
Stephen Williams,Toledo,WR,77,210,4.5,15,36.5,125,4.11,6.81,0
Trent Williams,Oklahoma,OT,77,315,4.81,23,34.5,113,4.63,7.64,1
Lindsey Witten,Connecticut,DE,77,250,4.7,23,36.5,115,4.62,7.32,0
Justin Woodall,Alabama,SS,73,223,4.64,13,34,118,4.17,6.88,0
Jason Worilds,Virginia Tech,OLB,73,254,4.65,24,38,114,4.29,6.95,1
Major Wright,Florida,FS,73,206,4.44,14,37.5,119,4.36,6.95,1
Sam Young,Notre Dame,OT,80,316,5.2,29,29.5,104,4.87,7.73,1
Willie Young,North Carolina State,DE,77,251,4.88,25,38,118,4.56,7.24,1
Kevin Akins,Boston College,OLB,74,218,4.82,15,31.5,117,4.15,6.78,0
Asher Allen,Georgia,CB,70,194,4.48,22,35,115,4.3,6.93,0
Stanley Arnoux,Wake Forest,ILB,73,232,4.56,19,31.5,121,4.39,7.22,0
Robert Ayers,Tennessee,DE,75,272,4.77,18,29.5,102,4.51,7.56,0
Chris Baker,Hampton,DT,74,326,4.94,24,35.5,106,4.9,8.06,0
Connor Barwin,Cincinnati,OLB,76,256,4.59,21,40.5,128,4.18,6.87,0
William Beatty,Connecticut,OT,78,307,5.06,27,33.5,107,4.77,7.62,0
Darry Beckwith,Louisiana State,ILB,73,234,4.75,23,26.5,110,4.5,7.39,0
Joel Bell,Furman,OT,79,315,5.11,27,30,109,4.57,7.55,0
Kahlil Bell,UCLA,RB,71,212,4.74,15,34.5,114,4.2,6.87,0
Jason Boltus,Hartwick,QB,75,225,4.82,26,31.5,111,4.47,7,0
Alex Boone,Ohio State,OT,79,328,5.16,33,27.5,103,4.69,7.83,0
Ron Brace,Boston College,DT,75,330,5.48,32,28,99,4.73,8.15,0
Robert Brewster,Ball State,OT,76,325,5.29,23,30.5,98,4.75,7.68,0
Travis Bright,BYU,OG,76,321,5.26,34,35.5,108,4.72,7.75,0
Jasper Brinkley,South Carolina,ILB,74,252,4.67,26,35.5,114,4.32,7.03,0
Eben Britton,Arizona,OT,78,309,5.14,24,28.5,100,4.91,7.87,0
Andre Brown,North Carolina State,RB,73,224,4.37,24,37,115,4.33,7.35,0
Cody Brown,Connecticut,OLB,74,244,4.76,26,36.5,120,4.4,7.1,0
Everette Brown,Florida State,DE,74,256,4.65,26,31.5,114,4.53,7.55,0
David Bruton,Notre Dame,FS,74,219,4.4,19,41.5,132,4.28,6.6,0
Joe Burnett,Central Florida,CB,70,192,4.58,22,35.5,118,4.25,6.68,0
Deon Butler,Penn State,WR,71,182,4.31,12,34.5,118,4.48,7.01,0
Victor Butler,Oregon State,OLB,74,248,4.76,24,33,113,4.4,7.21,0
Gerald Cadogan,Penn State,OT,77,309,4.99,26,25,95,4.8,8.05,0
Antoine Caldwell,Alabama,C,75,309,5.24,23,28,111,5.04,7.96,0
James Casey,Rice,FB,75,246,4.74,28,36,111,4.48,7,0
Chris Clemons,Clemson,FS,73,208,4.33,19,37.5,127,4.38,7.27,0
Glen Coffee,Alabama,RB,73,209,4.5,24,36,121,4.51,7.35,0
Austin Collie,BYU,WR,73,200,4.56,17,34,120,4.24,6.78,0
Jon Cooper,Oklahoma,C,74,291,5.09,31,29.5,105,4.6,7.46,0
Aaron Curry,Wake Forest,OLB,74,254,4.52,25,37,124,4.51,7.15,0
Brian Cushing,Southern California,OLB,75,243,4.64,30,35,120,4.22,6.84,0
C.J. Davis,Pittsburgh,OG,74,308,5.51,21,25.5,88,4.93,8.09,0
James Davis,Clemson,RB,71,218,4.55,17,32,109,4.37,7.15,0
Vontae Davis,Illinois,CB,71,203,4.4,25,36,125,4.07,6.75,0
Will Davis,Illinois,DE,74,261,4.84,27,33,115,4.45,7.38,1
Louis Delmas,Western Michigan,FS,73,202,4.52,12,37,126,4.17,6.67,0
Jarett Dillard,Rice,WR,70,191,4.52,13,42.5,129,4.41,7.1,0
Davon Drew,East Carolina,TE,76,256,4.78,17,29.5,113,4.56,7.28,0
Pannel Egboh,Stanford,DE,78,276,4.9,26,31.5,116,4.4,7.24,0
Larry English,Northern Illinois,OLB,74,255,4.82,24,36,107,4.38,7.26,0
Maurice Evans,Penn State,DE,74,274,5,17,29,107,4.57,7.32,0
Robby Felix,Texas-El Paso,C,75,302,5.2,33,29,97,4.73,7.96,0
Tony Fiammetta,Syracuse,FB,73,245,4.58,30,34,112,4.49,7.31,0
Alex Fletcher,Stanford,C,74,297,5.39,30,28,96,4.65,7.78,0
Bradley Fletcher,Iowa,CB,73,196,4.47,20,38.5,122,4.29,7.04,0
Moise Fokou,Maryland,OLB,73,233,4.65,12,31,121,4.28,7.09,0
Ramon Foster,Tennessee,OT,77,328,5.57,20,26,92,4.98,7.96,0
Coye Francies,San Jose State,CB,73,185,4.63,24,36,123,4.24,6.81,0
Marcus Freeman,Ohio State,OLB,73,239,4.65,30,37,113,4.12,6.98,0
Xavier Fulton,Illinois,OT,76,302,5.01,27,31,111,4.56,7.35,0
Juan Garcia,Washington,OG,74,307,5.42,34,25,93,4.87,8,0
Dan Gay,Baylor,OG,76,308,5.5,18,22.5,86,5.42,8.67,0
Jarron Gilbert,San Jose State,DE,77,288,4.81,28,35.5,119,4.56,7.7,0
Mike Goodson,Texas A&M,RB,73,208,4.46,14,39.5,118,4.22,6.89,0
Adrian Grady,Louisville,DT,74,298,5.19,31,32,105,4.72,7.68,0
Courtney Greene,Rutgers,SS,73,212,4.55,21,34.5,116,4.16,7.35,0
Shonn Greene,Iowa,RB,71,227,4.62,19,37,121,4.4,7.1,0
Dan Gronkowski,Maryland,TE,78,255,4.79,26,33,122,4.26,6.92,0
Michael Hamlin,Clemson,SS,74,214,4.57,17,37.5,117,4.42,7.14,0
Cullen Harper,Clemson,QB,75,225,4.95,19,30,105,4.49,7.43,0
Nic Harris,Oklahoma,OLB,75,234,4.86,15,31.5,109,4.37,7.05,0
Ra'Shon Harris,Oregon,DT,76,298,4.99,28,25.5,106,4.87,8.18,0
Darrius Heyward-Bey,Maryland,WR,74,210,4.25,16,38.5,126,4.18,6.8,0
Anthony Hill,North Carolina State,TE,77,262,4.84,21,30.5,107,4.56,7.31,0
SammieLee Hill,Stillman,DT,76,329,5.12,27,28,109,4.97,7.89,0
Stephen Hodge,Texas Christian,OLB,73,234,4.59,22,35,115,4.34,7.21,0
Lendy Holmes,Oklahoma,FS,73,206,4.69,16,32,112,4.32,7.28,0
Evander Hood,Missouri,DT,75,300,4.83,34,33,108,4.55,7.5,0
Brandon Hughes,Oregon State,CB,71,182,4.4,8,36.5,128,4.23,6.9,0
Corvey Irvin,Georgia,DT,75,301,4.96,24,24.5,97,4.73,7.44,0
Greg Isdaner,West Virginia,OG,76,325,5.42,24,27,92,5.07,7.96,0
Mortty Ivy,West Virginia,ILB,74,248,4.88,18,25.5,104,4.75,7.35,0
Tim Jamison,Michigan,DE,75,256,5.07,21,30,107,4.6,7.56,0
Malcolm Jenkins,Ohio State,CB,73,204,4.51,15,33,124,4.08,6.59,0
Rashad Jennings,Liberty,RB,73,231,4.59,29,34,120,4.2,6.86,0
Bruce Johnson,Miami,CB,70,170,4.49,6,34.5,125,4.05,6.71,0
David Johnson,Arkansas State,FB,74,260,4.73,21,32.5,113,4.43,7.28,0
Domonique Johnson,Jackson State,CB,74,198,4.5,7,32,116,4.3,7,0
Ian Johnson,Boise State,RB,71,212,4.41,26,33,116,4.18,6.93,0
Michael Johnson,Georgia Tech,DE,79,266,4.69,28,38.5,128,4.37,7.42,0
Rashad Johnson,Alabama,FS,71,203,4.49,15,37,120,4.23,7.09,0
Taurus Johnson,South Florida,WR,73,206,4.49,18,35.5,121,4.24,7.37,0
Aaron Kelly,Clemson,WR,77,204,4.49,11,38,119,4.45,7.25,0
Andy Kemp,Wisconsin,OG,77,313,5.48,23,25.5,91,4.86,7.86,0
Anthony Kimble,Stanford,RB,73,216,4.6,17,36,122,4.4,7.08,0
Mitch King,Iowa,DT,74,280,4.83,23,33.5,109,4.58,7.6,0
Troy Kropog,Tulane,OT,78,309,5.3,21,30,100,4.84,7.65,0
Paul Kruger,Utah,DE,76,263,4.83,24,32.5,108,4.47,7.52,0
James Laurinaitis,Ohio State,ILB,74,244,4.76,22,33,115,4.24,6.93,0
Phil Loadholt,Oklahoma,OT,80,332,5.49,24,29,95,5.06,8.18,0
Jonathan Luigs,Arkansas,C,76,301,5.14,26,31,99,4.79,7.69,0
Alex Magee,Purdue,DT,75,298,5.03,30,29.5,103,4.55,7.52,0
Marcus Mailei,Weber State (UT),FB,73,248,4.87,22,35,113,4.33,7.36,0
Orion Martin,Virginia Tech,DE,74,262,4.81,24,32,108,4.63,7.9,0
Sherrod Martin,Troy,CB,73,198,4.43,12,36,123,3.98,6.6,0
Clay Matthews,Southern California,OLB,75,240,4.62,23,35.5,121,4.18,6.9,0
Aaron Maybin,Penn State,DE,76,249,4.78,22,38,124,4.38,7.52,0
Darcel McBath,Texas Tech,FS,73,198,4.58,14,38,119,4.16,6.8,0
Marcus McClinton,Kentucky,FS,73,210,4.51,16,37,120,4.22,7.45,0
Scott McKillop,Pittsburgh,ILB,73,244,4.7,27,35.5,119,4.39,7,0
Gerald McRath,Southern Mississippi,ILB,75,231,4.49,19,34,123,4.35,7.24,0
Andrew Means,Indiana,WR,73,214,4.46,12,34.5,116,4.21,6.85,0
Jamon Meredith,South Carolina,OT,77,304,4.99,31,28,105,4.82,8.01,0
Maurice Miller,Mississippi,OG,75,327,5.44,21,28.5,97,5.03,8.42,0
Roy Miller,Texas,DT,73,310,4.95,36,32,103,4.74,8.01,0
Khalif Mitchell,East Carolina,DT,77,318,5.08,30,30,109,4.71,7.45,0
Marko Mitchell,Nevada,WR,76,218,4.43,9,32,116,4.33,7.04,0
Eugene Monroe,Virginia,OT,77,309,5.18,23,28.5,110,4.79,7.86,0
D.J. Moore,Vanderbilt,CB,70,192,4.56,17,39.5,118,4.28,7.01,0
Kyle Moore,Southern California,DE,77,272,4.81,22,30.5,105,4.47,7.4,0
William Moore,Missouri,SS,73,221,4.56,16,37,123,4.26,6.81,0
Knowshon Moreno,Georgia,RB,71,217,4.5,25,35.5,115,4.27,6.84,0
Cameron Morrah,California,TE,76,244,4.65,24,32.5,115,4.36,6.99,0
Captain Munnerlyn,South Carolina,CB,69,182,4.51,19,37.5,121,4.2,7.15,0
Lydon Murtha,Nebraska,OT,79,306,4.82,25,35,110,4.34,7.06,0
Shawn Nelson,Southern Mississippi,TE,77,240,4.52,19,33,115,4.46,6.96,0
Troy Nolan,Arizona State,FS,73,206,4.63,12,31.5,117,4.3,7.06,0
Chris Ogbonnaya,Texas,RB,73,220,4.57,19,35,111,4.29,6.85,0
Michael Oher,Mississippi,OT,77,309,5.34,21,30.5,103,4.6,7.81,0
Seth Olsen,Iowa,OG,77,306,5.23,23,24.5,90,4.7,7.59,0
Branden Ore,West Liberty,RB,71,214,4.61,21,36,112,4.44,7.35,0
Christopher Owens,San Jose State,CB,70,181,4.44,14,34.5,110,4.16,6.93,0
Ryan Palmer,Texas,CB,68,190,4.54,16,36.5,121,4.29,7.12,0
Cedric Peerman,Virginia,RB,70,216,4.34,27,40,117,4.29,6.99,0
Derek Pegues,Mississippi State,FS,70,199,4.63,23,36,119,4.3,7.08,0
Brandon Pettigrew,Oklahoma State,TE,78,263,4.8,22,33,118,4.37,7.12,0
John Phillips,Virginia,TE,78,251,4.78,20,33.5,112,4.27,6.84,0
Zach Potter,Nebraska,DE,79,279,4.9,20,31,106,4.48,7.75,0
Jerraud Powers,Auburn,CB,69,188,4.51,15,36.5,122,4.08,7.09,0
Glover Quin,New Mexico,FS,71,204,4.5,22,38,119,4.43,7.39,0
Richard Quinn,North Carolina,TE,76,264,4.88,24,32.5,119,4.62,7.5,0
B.J. Raji,Boston College,DT,74,337,5.12,33,32,103,4.69,7.9,0
Garrett Reynolds,North Carolina,OT,80,309,5.4,19,22,94,4.88,7.87,0
Javon Ringer,Michigan State,RB,69,205,4.55,23,34,115,4.11,6.87,0
Lee Robinson,Alcorn State,OLB,74,249,4.71,24,32.5,113,4.67,7.57,0
Jamarca Sanford,Mississippi,SS,70,214,4.5,29,33.5,116,4.2,7.02,0
Lydell Sargeant,Penn State,CB,69,190,4.49,15,35,117,4.21,7,0
Bernard Scott,Abilene Christian,RB,70,200,4.44,21,36,125,4.08,6.82,0
Dorell Scott,Clemson,DT,75,312,4.92,29,30.5,107,4.84,8.28,0
Matt Shaughnessy,Wisconsin,DE,77,266,4.86,24,30.5,112,4.88,7.68,0
Kory Sheets,Purdue,RB,71,208,4.39,15,37,121,4.39,7.18,0
A.Q. Shipley,Penn State,C,73,304,5.19,33,31,100,4.4,7.46,0
Lawrence Sidbury,Richmond,DE,75,266,4.53,28,35,120,4.43,7.46,0
Alphonso Smith,Wake Forest,CB,69,193,4.47,13,34,125,4.38,7.09,0
DeAngelo Smith,Cincinnati,CB,71,194,4.5,17,31.5,109,4.35,7.27,0
Jason Smith,Baylor,OT,77,309,5.09,33,24,96,4.69,7.53,0
Sean Smith,Utah,CB,76,214,4.5,10,34,119,4.15,6.92,0
Brannan Southerland,Georgia,FB,73,242,4.69,28,38,120,4.4,7.4,0
Kory Sperry,Colorado State,TE,77,238,4.7,20,33.5,122,4.25,7,0
Sammie Stroughter,Oregon State,WR,70,189,4.54,13,30,110,4.28,7.03,0
Stryker Sulak,Missouri,DE,77,251,4.63,22,31,113,4.58,7.31,0
Curtis Taylor,Louisiana State,FS,74,207,4.64,13,37.5,129,4.23,7.25,0
Terrance Taylor,Michigan,DT,73,306,5.22,37,30,104,5.06,7.78,0
Morgan Trent,Michigan,CB,73,193,4.5,23,38,127,4.01,7.05,0
Fenuki Tupou,Oregon,OT,78,314,5.4,24,25.5,94,5.02,8.33,0
Brandon Underwood,Cincinnati,FS,73,198,4.5,16,36.5,125,4.2,7,0
Tiquan Underwood,Rutgers,WR,73,184,4.31,7,41.5,129,4.11,6.62,0
Max Unger,Oregon,C,77,309,5.26,22,24.5,93,4.5,7.39,0
Kraig Urbik,Wisconsin,OG,77,328,5.37,29,24,94,4.89,7.87,0
Jose Valdez,Arkansas,OT,77,315,5.23,15,29.5,100,4.93,7.93,0
Chip Vaughn,Wake Forest,SS,74,221,4.42,21,37,125,4.12,7.03,0
David Veikune,Hawaii,DE,75,257,4.79,35,33,110,4.46,7.2,0
Derek Walker,Illinois,DE,76,268,4.98,24,37.5,115,4.41,7.31,0
Mike Wallace,Mississippi,WR,73,199,4.28,14,40,129,4.27,6.9,0
Donald Washington,Ohio State,CB,73,197,4.5,9,45,135,4.2,6.84,0
Jason Watkins,Florida,OT,78,318,5.51,18,24.5,90,5.03,7.89,0
Lardarius Webb,Nicholls State,CB,70,179,4.35,15,36.5,121,4.1,6.77,0
Edwin Williams,Maryland,C,74,308,5.4,22,28.5,99,4.98,8.15,0
Jaison Williams,Oregon,WR,76,237,4.63,14,35.5,118,4.56,7.37,0
Eric Wood,Louisville,C,76,310,5.19,30,30.5,99,4.51,7.56,0
DeAndre Wright,New Mexico,CB,71,198,4.52,17,34.5,122,4.44,7,0
Jarius Wynn,Georgia,DE,75,275,5.01,19,31.5,107,4.58,7.4,0
Branden Albert,Virginia,OG,78,309,5.17,23,26,111,4.78,7.97,0
Cliff Avril,Purdue,OLB,75,253,4.51,27,32.5,117,4.51,6.9,0
Kentwan Balmer,North Carolina,DT,77,308,5.29,33,29,103,4.82,7.65,0
Dominique Barber,Minnesota,FS,73,210,4.68,23,34,117,4.34,7.08,0
Gary Barnidge,Louisville,TE,78,243,4.61,22,31,117,4.23,6.92,0
Josh Barrett,Arizona State,SS,74,223,4.34,17,31.5,121,4.27,7.07,0
Demetrius Bell,Northwestern State (LA),OT,77,303,5.25,9,26.5,109,4.65,7.65,0
Earl Bennett,Vanderbilt,WR,73,209,4.48,15,26,110,4.22,7.15,0
Martellus Bennett,Texas A&M,TE,78,259,4.68,18,34,118,4.53,7.64,0
Davone Bess,Hawaii,WR,70,194,4.64,12,31.5,118,4.27,6.97,0
Kroy Biermann,Montana,OLB,75,246,4.85,29,31.5,112,4.56,7.08,0
Adam Bishop,Nevada,TE,77,248,4.98,21,27,113,4.28,7.14,0
James Blair,Western Michigan,OG,75,323,5.28,28,23.5,103,5.33,8.44,0
Brian Bonner,Texas Christian,SS,71,196,4.61,17,31,113,4.43,7.21,0
Alvin Bowen,Iowa State,OLB,73,223,4.79,15,34,119,4.3,7.21,0
Zackary Bowman,Nebraska,CB,73,197,4.39,18,30.5,122,4.21,7.1,0
Cory Boyd,South Carolina,RB,73,213,4.52,25,33.5,118,4.24,6.97,0
Mark Bradford,Stanford,WR,73,211,4.69,19,36.5,120,4.47,7.12,0
Duane Brown,Virginia Tech,OT,76,315,5.07,24,27.5,105,4.52,7.58,0
Red Bryant,Texas A&M,DT,76,318,5,20,28,111,4.64,7.75,0
Keenan Burton,Kentucky,WR,73,201,4.44,10,38.5,125,4.2,6.77,0
Calais Campbell,Miami,DE,80,290,5.04,16,29.5,111,4.69,7.45,0
John Carlson,Notre Dame,TE,77,251,4.88,20,30.5,113,4.28,7.12,0
Jehuu Caulcrick,Michigan State,FB,73,254,4.69,16,33,109,4.72,7.4,0
Gosder Cherilus,Boston College,OT,79,314,5.14,24,23,102,4.82,7.6,0
Corey Clark,Texas A&M,OT,78,315,5.28,23,23,106,4.68,7.47,0
Devin Clark,New Mexico,OT,76,305,5.3,25,21,95,5.03,8.38,0
Joe Clermond,Pittsburgh,DE,74,249,5.15,20,25.5,107,4.73,7.61,0
Anthony Collins,Kansas,OT,77,317,5.54,26,22.5,97,4.87,7.71,0
Oniel Cousins,Texas-El Paso,OT,76,308,5.11,23,24.5,107,4.8,7.9,0
Shawn Crable,Michigan,OLB,77,245,4.61,29,28,111,4.55,7.29,0
Bruce Davis,UCLA,OLB,75,252,4.78,19,29,109,4.47,7.34,0
Kellen Davis,Michigan State,TE,79,262,4.59,22,28,118,4.38,7.25,0
Marcus Dixon,Hampton,DE,76,292,5.2,21,26,111,4.67,7.58,0
Franklin Dunbar,Middle Tennessee St,OT,77,327,5.58,27,24.5,101,5.18,8.36,0
Sedrick Ellis,Southern California,DT,73,309,5.26,34,26.5,105,4.73,7.78,0
Jerome Felton,Furman,FB,73,241,4.68,30,32.5,110,4.46,7.2,0
Robert Felton,Arkansas,OG,76,315,5.51,22,23,98,4.84,8.08,0
Derek Fine,Kansas,TE,75,251,4.83,24,29,115,4.19,6.8,0
Jermichael Finley,Texas,TE,77,243,4.82,20,27.5,117,4.38,7.15,0
Wilrey Fontenot,Arizona,CB,69,171,4.4,18,34,128,4.26,7.29,0
Matt Forte',Tulane,RB,74,217,4.44,23,33,118,4.23,6.84,0
Pierre Garcon,Mount Union,WR,73,210,4.42,20,36.5,125,4.19,6.9,0
Curtis Gatewood,Vanderbilt,OLB,74,248,4.72,22,28.5,111,4.22,6.9,0
Jeremy Geathers,UNLV,DE,74,256,4.96,29,28,105,4.49,7.28,0
Vernon Gholston,Ohio State,DE,75,266,4.65,37,35.5,125,4.4,7.12,0
Breno Giacomini,Louisville,OT,79,303,5.2,23,22.5,108,4.63,7.56,0
Mike Gibson,California,OG,76,305,5.27,31,27,110,4.64,7.21,0
Charles Godfrey,Iowa,CB,73,207,4.43,14,32.5,121,4.4,7.28,0
Jonathan Goff,Vanderbilt,ILB,74,245,4.63,28,31.5,118,4.26,6.86,0
Larry Grant,Ohio State,OLB,73,235,4.76,20,31.5,113,4.22,6.77,0
Michael Grant,Arkansas,CB,70,186,4.37,14,30.5,116,4.1,7.08,0
John Greco,Toledo,OT,77,305,5.29,30,26,108,4.82,8.03,0
Ryan Grice-Mullen,Hawaii,WR,70,187,4.53,17,27.5,118,4.16,6.91,0
Marcus Griffin,Texas,FS,70,201,4.69,13,31.5,119,4.32,7.09,0
Quentin Groves,Auburn,OLB,75,259,4.53,30,29.5,120,4.42,7.31,0
Gary Guyton,Georgia Tech,OLB,74,245,4.47,15,36.5,126,4.42,7.07,0
David Hale,Weber State (UT),OT,78,314,5.27,25,26,100,4.75,7.69,0
James Hardy,Indiana,WR,78,217,4.45,18,31.5,125,4.2,6.84,0
Derrick Harvey,Florida,DE,77,271,4.84,31,28.5,113,4.36,7.27,0
Nick Hayden,Wisconsin,DT,76,291,5.14,34,27,108,4.54,7.55,0
Geno Hayes,Florida State,OLB,73,226,4.64,22,26.5,116,4.48,7.22,0
Joey Haynos,Maryland,TE,80,259,4.87,17,30.5,123,4.42,6.92,0
Jonathan Hefney,Tennessee,FS,68,190,4.52,14,29,117,4.44,7.1,0
Erin Henderson,Maryland,OLB,75,244,4.73,23,31,113,4.5,7.16,0
Jacob Hester,Louisiana State,FB,71,226,4.61,23,27.5,111,4.24,6.85,0
Chris Horton,UCLA,SS,73,212,4.54,14,28.5,109,4.35,7.34,0
Mike Humpal,Iowa,OLB,75,244,4.82,20,31,119,4.25,7.07,0
Kenny Iwebema,Iowa,DE,76,274,4.91,26,29,109,4.75,7.62,0
Chevis Jackson,Louisiana State,CB,73,192,4.52,13,36,125,4.15,6.96,0
Lawrence Jackson,Southern California,DE,76,271,4.82,31,31,108,4.4,7.08,0
Mike Jenkins,South Florida,CB,70,197,4.38,18,34,117,4.4,7.21,0
Jaymar Johnson,Jackson State,WR,71,177,4.5,14,32,118,4.18,6.75,0
Jason Jones,Eastern Michigan,DE,77,273,4.76,18,25.5,123,4.32,7.29,0
Steve Justice,Wake Forest,C,76,293,5.24,23,21,98,4.58,7.4,0
Kolo Kapanui,West Texas A&M,TE,76,271,5.06,23,26.5,107,4.66,7.42,0
Stanford Keglar,Purdue,OLB,74,239,4.58,29,34,126,3.98,6.7,0
Bryan Kehl,BYU,OLB,74,242,4.67,26,34,119,4.23,6.88,0
Dustin Keller,Purdue,TE,74,242,4.53,26,38,131,4.14,6.88,0
Dennis Keyes,UCLA,FS,73,205,4.59,15,30.5,112,4.41,7.25,0
Justin King,Penn State,CB,71,192,4.31,14,34,127,4.31,7.14,0
Kendall Langford,Hampton,DE,78,287,4.95,24,27,114,4.69,7.72,0
Spencer Larsen,Arizona,ILB,74,238,4.85,27,28.5,113,4.55,7.68,0
Trevor Laws,Notre Dame,DT,73,304,5.09,35,30.5,103,4.49,7.37,0
Patrick Lee,Auburn,CB,73,200,4.41,15,31,120,4.3,7.07,0
Curtis Lofton,Oklahoma,ILB,73,246,4.79,23,24.5,105,4.56,7.69,0
Jake Long,Michigan,OT,79,313,5.22,37,27.5,102,4.73,7.44,0
Dwight Lowery,San Jose State,CB,71,201,4.54,16,33.5,116,4.38,7.31,0
Mario Manningham,Michigan,WR,73,181,4.59,16,32,117,4.27,7.34,0
Bryan Mattison,Iowa,DE,75,290,5.05,26,24.5,112,4.7,7.61,0
Jameel McClain,Syracuse,ILB,73,249,4.74,24,26,110,4.31,7.12,0
James McClinton,Kansas,DT,73,293,5.47,23,21.5,97,4.73,7.5,0
Mike McGlynn,Pittsburgh,OG,76,311,5.38,30,23,101,4.72,7.58,0
Leodis McKelvin,Troy,CB,70,190,4.38,17,33.5,121,4.1,7.06,0
Antwaun Molden,Eastern Kentucky,CB,73,198,4.39,23,37.5,129,4.14,6.85,0
Marcus Monk,Arkansas,WR,76,222,4.56,9,34.5,119,4.3,7.08,0
Dre Moore,Maryland,DT,76,305,4.84,31,28,105,4.55,7.73,0
Evan Moore,Stanford,TE,78,233,4.74,16,27,110,4.43,7.08,0
Anthony Morelli,Penn State,QB,76,231,5.07,16,26.5,108,4.6,7.43,0
DaJuan Morgan,North Carolina State,FS,73,205,4.5,21,33,119,4.41,7.12,0
Shawn Murphy,Utah State,OG,76,320,5.38,29,21.5,100,4.89,7.74,0
Carl Nicks,Nebraska,OT,77,341,5.22,31,25.5,109,4.68,7.91,0
Frank Okam,Texas,DT,77,347,5.32,32,23,104,4.95,8.07,0
Chase Ortiz,Texas Christian,DE,74,249,4.9,24,29.5,108,4.23,7.03,0
D.J. Parker,Virginia Tech,FS,71,192,4.59,19,29,111,4.44,6.94,0
Jalen Parmele,Toledo,RB,73,224,4.47,19,34,125,4.29,6.96,0
Kenny Phillips,Miami,FS,74,212,4.48,19,32.5,121,4.27,6.97,0
Mike Pollak,Arizona State,C,76,301,4.99,29,25,110,4.47,7.49,0
Tyler Polumbus,Colorado,OT,80,312,5.3,24,26,112,4.86,7.71,0
Tracy Porter,Indiana,CB,71,188,4.37,18,34,123,4.07,7.2,0
Carlton Powell,Virginia Tech,DT,74,292,5.1,23,22.5,108,4.87,7.78,0
Chilo Rachal,Southern California,OG,77,315,5.16,28,25.5,108,5.14,8.01,0
Drew Radovich,Southern California,OG,77,301,5.33,21,23,108,4.53,7.47,0
Darius Reynaud,West Virginia,WR,69,201,4.48,20,34.5,130,4.32,6.88,0
Ray Rice,Rutgers,RB,68,199,4.42,23,31.5,119,4.2,6.65,0
Jamey Richard,Buffalo,C,77,295,5.22,22,26.5,107,4.69,7.58,0
Barry Richardson,Clemson,OT,79,320,5.45,24,25.5,100,5.16,8,0
Chad Rinehart,Northern Iowa,OG,77,320,5.42,26,28.5,106,4.56,7.84,0
David Roach,Texas Christian,FS,73,210,4.53,16,38,123,4.15,6.88,0
Dominique Rodgers-Cromartie,Tennessee State,CB,74,184,4.29,17,38.5,131,4.17,6.74,0
Eddie Royal,Virginia Tech,WR,70,184,4.39,24,36,124,4.34,7.07,0
Ahtyba Rubin,Iowa State,DT,75,315,5.2,35,28,106,5,8.05,0
Tom Santi,Virginia,TE,76,250,4.8,14,36,121,4.27,7.08,0
Arman Shields,Richmond,WR,73,194,4.37,19,37.5,128,3.96,6.67,0
Bryan Smith,McNeese State (LA),OLB,75,231,4.74,17,32.5,120,4.4,7.22,0
Dorian Smith,Oregon State,DE,74,264,5.06,24,27.5,105,4.73,7.52,0
Marcus Smith,New Mexico,WR,74,221,4.51,20,26.5,111,4.42,7.1,0
Craig Stevens,California,TE,75,254,4.59,27,27.5,114,4.31,7.07,0
Carl Stewart,Auburn,FB,73,230,4.66,30,39,134,4.5,7.12,0
Darrell Strong,Pittsburgh,TE,76,268,4.78,17,25,110,4.36,6.86,0
John Sullivan,Notre Dame,C,76,301,5.35,21,30,103,4.55,7.62,0
Aqib Talib,Kansas,CB,73,202,4.44,10,38,131,4.25,6.82,0
Jacob Tamme,Kentucky,TE,76,236,4.58,18,30,109,4.27,6.99,0
Donald Thomas,Connecticut,OG,76,303,5,28,24.5,100,4.78,7.45,0
Jeremy Thompson,Wake Forest,DE,77,264,4.75,25,32,117,4.23,6.97,0
Justin Tryon,Arizona State,CB,69,190,4.42,21,32.5,119,4.28,7.41,0
Cody Wallace,Texas A&M,C,76,296,5.3,26,30.5,113,4.55,7.45,0
Nehemiah Warrick,Michigan State,FS,73,211,4.51,16,29.5,119,4.09,6.98,0
Nick Watkins,Clemson,OLB,73,223,4.77,17,25,108,4.72,7.97,0
